
50 254
20 36 1
20 7 21
20 21 21
20 6 23
20 1 93
20 24 26
14 46 44
14 36 28
14 1 64
14 39 66
14 16 41
14 24 32
45 2 88
45 33 87
45 42 80
45 27 91
45 5 39
45 35 7
1 11 3
1 4 54
1 34 32
1 27 39
1 41 60
1 5 38
3 26 18
3 38 84
3 13 15
3 37 84
3 28 45
5 14 70
5 5 75
5 40 38
5 9 58
5 3 54
39 8 56
39 3 92
39 19 29
39 41 27
39 34 2
28 43 36
28 39 92
28 10 48
28 17 22
28 30 6
33 36 8
33 5 19
33 27 77
33 26 68
33 22 45
37 26 47
37 18 79
37 2 73
37 19 8
37 46 12
16 38 5
16 36 38
16 37 50
16 39 75
16 13 34
17 44 24
17 9 53
17 47 7
17 24 69
17 16 85
0 3 35
0 16 4
0 9 91
0 19 78
0 30 62
10 35 51
10 2 75
10 11 13
10 40 90
10 8 92
21 37 97
21 4 54
21 29 61
21 34 51
21 30 7
19 9 74
19 21 42
19 40 98
19 2 90
19 10 80
34 11 48
34 47 90
34 29 53
34 33 57
34 32 55
35 11 65
35 8 60
35 42 9
35 26 5
35 7 92
11 47 6
11 15 17
11 6 25
11 37 5
11 32 56
13 29 95
13 27 41
13 34 11
13 36 95
13 13 23
42 37 87
42 31 9
42 21 86
42 9 13
42 34 94
38 44 48
38 18 18
38 19 48
38 5 77
38 41 2
8 17 79
8 14 84
8 19 94
8 38 65
8 45 13
29 31 74
29 19 59
29 23 51
29 11 32
29 42 7
47 45 36
47 30 87
47 3 30
47 6 23
47 21 83
25 12 51
25 33 30
25 2 16
25 38 68
25 13 29
44 23 93
44 26 67
44 31 69
44 0 5
44 47 79
26 22 10
26 30 32
26 34 37
26 10 8
26 13 100
32 26 25
32 46 47
32 44 87
32 33 10
32 15 16
22 31 76
22 6 53
22 12 82
22 41 24
22 2 2
40 22 49
40 35 9
40 26 25
40 43 88
40 4 44
12 33 19
12 40 45
12 2 1
12 35 68
12 13 63
41 29 19
41 16 56
41 31 61
41 2 24
41 15 44
48 37 38
48 0 48
48 12 24
48 38 75
48 44 2
46 24 37
46 46 63
46 43 46
46 22 66
46 31 30
30 44 69
30 20 5
30 39 2
30 9 91
30 24 54
7 29 71
7 25 59
7 8 5
7 39 40
7 32 74
31 7 63
31 14 53
31 2 89
31 11 83
31 32 72
15 2 98
15 42 16
15 16 9
15 48 2
15 24 20
24 21 7
24 48 8
24 12 25
24 1 61
24 0 83
9 15 5
9 45 53
9 11 69
9 37 51
9 3 30
23 38 83
23 26 82
23 8 1
23 4 93
23 23 90
2 46 14
2 3 27
2 23 49
2 29 67
2 16 66
43 32 8
43 36 80
43 25 76
43 3 74
43 42 52
4 8 76
4 10 87
4 47 29
4 27 70
4 2 65
36 11 19
36 46 58
36 22 6
36 30 96
36 10 73
18 34 48
18 40 98
18 4 92
18 44 31
18 8 37
6 9 46
6 14 63
6 36 73
6 28 4
6 44 79
27 28 64
27 21 94
27 19 95
27 37 69
27 36 98
49 25 64
49 39 27
49 19 55
49 26 85
49 10 86
