
46 69
0 1 1
0 2 1
0 3 1
1 26 1
1 4 1
2 10 1
2 11 1
3 18 1
3 19 1
4 5 1
4 33 1
5 29 1
5 6 1
6 27 1
6 7 1
7 8 1
7 14 1
8 9 1
8 38 1
9 10 1
9 37 1
10 39 1
11 12 1
11 39 1
12 35 1
12 13 1
13 14 1
13 15 1
14 34 1
15 16 1
15 22 1
16 17 1
16 44 1
17 18 1
17 43 1
18 45 1
19 20 1
19 45 1
20 41 1
20 21 1
21 22 1
21 23 1
22 40 1
23 24 1
23 27 1
24 32 1
24 25 1
25 26 1
25 31 1
26 33 1
27 28 1
28 32 1
28 29 1
29 30 1
30 33 1
30 31 1
31 32 1
34 35 1
34 38 1
35 36 1
36 37 1
36 39 1
37 38 1
40 41 1
40 44 1
41 42 1
42 43 1
42 45 1
43 44 1
